"nome","resumo","coordenador"
"INIBIÇÃO DA ENZIMA XANTINA OXIDASE E DETERMINAÇÃO DAS PROPRIEDADES ANTIOXIDANTES DE COMPLEXOS DE ZINCO FORMADOS A PARTIR DE LIGANTES RADICALARES NITRONIL-NITRÓXIDOS","O presente projeto visa o desenvolvimento de complexos de zinco formados com radicais nitronil-nitróxido para serem empregados como inibidores da enzima xantina oxidase e como antioxidantes uma vez que estes compostos são altamente estáveis e conhecidos por capturarem radicais superóxido e hidroxila. Espera-se desenvolver compostos biologicamente ativos além de investigar mais sobre as suas propriedades redox tais como ao sequestro de radicais livres.","Camila Anchau Wegermann"
"USO DE TÉCNICAS DE INTELIGÊNCIA COMPUTACIONAL PARA CARACTERIZAÇÃO DE RESERVATÓRIOS DE PETRÓLEO","O petróleo se encontra na natureza ocupando os vazios de uma rocha porosa chamada de rocha reservatório. Por trás de sua perfuração do poço existe um trabalho que envolve bilhões de reais e estudos profundos que são realizados por especialistas que utilizam métodos geológicos e geofísicos. O processo de caracterização de poços é complexo e é necessário conhecer as propriedades das rochas. Nesse contexto pode-se aplicar técnicas de inteligência computacional para automatizar esse processo.","Camila Martins Saporetti"
"MODELOS PREDITIVOS EM SAÚDE: MACHINE LEARNING PARA PREDIZER A OCORRÊNCIA DE ÓBITO EM PACIENTES PORTADORES DE IRA E COVID-19.","A maioria dos pacientes com covid-19 apresenta sintomas leves mas cerca de 5% desenvolvem sintomas graves que podem incluir síndrome da angústia respiratória aguda choque séptico e falência de múltiplos órgãos. O envolvimento renal é frequente com apresentação clínica variando de proteinúria leve a ira progressiva necessitando suporte renal artificial (sra os pacientes com covid-19 apresentam risco aumentado de ira que está relacionado com a gravidade da doença clínica. ","Carlos Augusto Moreira De Sousa"
"TRAJETÓRIAS E TENDÊNCIAS DO USO DO SISTEMA GEOSSISTEMA-TERRITÓRIO-PAISAGEM (GTP) NO BRASIL: BIBLIOMETRIA BANCO DE DADOS DIGITAL E REDES DE PESQUISA","O sistema tripolar gtp é uma proposição teórico-metodológica vinculada a uma abordagem sistêmica renovada que visa articular os conceitos de geossistema território e paisagem para subsidiar pesquisas socioambientais na geografia física. No entanto o modo como os geógrafos brasileiros têm utilizado o gtp ainda não é plenamente compreendido. Por isso pretende-se analisar o uso do gtp em dissertações e teses publicadas em 70 programas de pós-graduação em geografia no brasil entre 2016 e 2024.","Carlos Eduardo Das Neves"
"GEOCIÊNCIAS NA ERA DIGITAL: TRABALHOS DE CAMPO VIRTUAIS E DIVULGAÇÃO CIENTÍFICA","O projeto geociências na era digital: trabalhos de campo virtuais e divulgação científica da uerj visa integrar tecnologia e geociência. Utilizando o google earth e drones o projeto cria campos geológicos virtuais com afloramentos em 3d para facilitar o estudo e a pesquisa em geologia. Além disso busca expandir o alcance global do conhecimento geológico através da disponibilização de materiais em dois idiomas.","Caroline De Araujo Peixoto"
"SÍNTESE E CARACTERIZAÇÃO DE MATERIAIS ATOMICAMENTE FINOS VISANDO A APLICABILIDADE DE SUAS PROPRIEDADES ELÉTRICAS","Neste plano de trabalho proponho sintetizar e caracterizar grafeno e dicalcogenetos de metais de transição (do inglês transition metal dichalcogenides tmds) pelo método de deposição química na fase vapor (do inglês chemical vapor deposition cvd). Este sistema será montado nas instalações da uerj e estará em plena disposição e funcionamento para usuários interessados no estado do rio de janeiro o fomento para este fim já foi ganho e em anexo está o termo de outorga da faperj.","Cesar Augusto Diaz Mendoza"
"ESTUDO DO EFEITO DE MAGNETOSTRIÇÃO GIGANTE PARA APLICAÇÕES TECNOLÓGICAS","O objetivo principal desta proposta é o estudo do efeito de magnetostrição gigante para aplicações tecnológicas. Para tal fim será realizado o estudo de materiais constituídos por ligas de fe-metais-metalóides. A caracterização das ligas será realizada com o levantamento das propriedades magnéticas em escalas macroscópica e microscópica usando as técnicas de magnetometria e microscopia magneto-óptica kerr.","Clara Johanna Pacheco"
"INTRUSÕES KIMBERLÍTICAS E SEUS POTENCIAIS DIAMANTÍFEROS NA REGIÃO DA SERRA DA CANASTRA (MINAS GERAIS) ","O presente projeto apresenta a proposta de estudos de apoio e analíticos aplicados à interpretação geológica das intrusões kimberlíticas que ocorrem na serra da canastra no sudoeste de minas gerais com vista a uma bolsa de iniciação","Daniel Augusto Bozoti Pasin"
"MATEMÁTICA E FÍSICA NA MALA","O presente projeto matemática e física na mala consiste na itinerância dos experimentos de baixo custo de educação científica envolvendo matemática e ciências naturais e da popularização de todo o material de apoio criado no contexto deste projeto. Aqui objetiva-se manter a visitação recorrente a escolas do estado do rio de janeiro visando estabelecer laços fortes e estimular a utilização dos materiais e práticas desenvolvidos em nossa pesquisa. ","Daniela Mendes Vieira Da Silva"
"COMPLEXOS MONONUCLEARES DE COBRE(II) E ZINCO(II) COMO MODULADORES DA FOSFORILAÇÃO PROTEICA PATOLÓGICA","A fosforilação indesejada ou a hiperfosforilação de proteínas está relacionada à etiologia de doenças neurodegenerativas como o alzheimer e o parkinson. A presente proposta visa ao desenvolvimento e avaliação de complexos de coordenação mononucleares de cobre(ii) e zinco(ii) capazes de hidrolisar ligações éster de fosfato em proteínas de interesse no contexto da neurodegeneração com o intuito de interferir com a condição de fosforilação patológica das mesmas.","Daphne Schneider Cukierman Rey"
